to marry, heiraten
hobby, das Hobby
engineer, der Ingenieur
island, die Insel
island tour, die Inselrundfahrt
to know, kennen
suitcase, der Koffer
last, letzte
ocean, das Meer
moon, der Mond
neighbour, der Nachbar
neighbour, die Nachbarin
nature, die Natur
to pack, packen
postcard, die Postkarte
journey, die Reise
ship, das Schiff
seal, der Seehund
ski, der Ski
beach, der Strand
stressful, stressig
course of study, das Studium
for hours, stundenlang
soup, die Suppe
sweet, süß
tennis, das Tennis
tourist, der Tourist
infrequent, unregelmäßig
holiday, der Urlaub
to earn, verdienen
to wait, warten
weather, das Wetter
to dress, anziehen
suit, der Anzug
beige, beige
comfortable, bequem
better, besser
certainly, bestimmt
blue, blau
stupid, blöd
blouse, die Bluse
brown, braun
to bring, bringen
to think, denken
shopping spree, der Einkaufsbummel
tight, eng
colour, die Farbe
terrible, furchtbar
to please, gefallen
mutual, gegenseitig
yellow, gelb
equally, genauso
to believe, glauben
grey, grau
good value, günstig
shirt, das Hemd
trousers, die Hose
jacket, die Jacke
jeans, die Jeans
tracksuit, der Jogginganzug
receipt, der Kassenbon
department store, das Kaufhaus
clothes, die Klamotten
great, klasse
dress, das Kleid
clothing, die Kleidung
item of clothing, das Kleidungsstück
purple, lila
coat, der Mantel
fashion, die Mode
model, das Modell
hat, die Mütze
online, online
order, die Ordnung
pair, das Paar
to fit, passen
positive, positiv
to try, probieren
prospect, der Prospekt
jumper, der Pullover
to advise, raten
skirt, der Rock
scarf, der Schal
shoe, der Schuh
black, schwarz
secure, sicher
sock, die Socke
trainer, der Sportschuh
cardigan, die Strickjacke
stocking, der Strumpf
to wear, tragen
t-shirt, das T-Shirt
typical, typisch
at all, überhaupt
to exchange, umtauschen
to forget, vergessen
winter coat, der Wintermantel
return, zurück
caution, die Achtung
April, der April
to get excited, aufregen
August, der August
to build, bauen
tree, der Baum
to visit, besuchen
cloudy, bewölkt
bride, die Braut
thanks, der Dank
about, darüber
map of Germany, die Deutschlandkarte
December, der Dezember
even, eben
to invite, einladen
invitation, die Einladung
agreed, einverstanden
ice cream, das Eis
February, der Februar
celebration, die Feier
to celebrate, feiern
party, das Fest
to be happy, freuen
glad, froh
spring, der Frühling
to feel, fühlen
garden party, die Gartenparty
birthday, der Geburtstag
birthday cake, die Geburtstagstorte
present, das Geschenk
happy, glücklich
lucky day, der Glückstag
degrees, der Grad
to hail, hageln
glove, der Handschuh
rabbit, der Hase
autumn, der Herbst
compass point, die Himmelsrichtung
wedding, die Hochzeit
wedding party, die Hochzeitsfeier
year, die Jahreszahl
season, die Jahreszeit
January, der Januar
July, der Juli
calendar, der Kalender
to love, lieben
air balloon, der Luftballon
funny, lustig
May, der Mai
minus, minus
to bring with, mitbringen
wet, nass
foggy, nebelig
north, der Norden
November, der November
now, nun
October, der Oktober
Octoberfest, das Oktoberfest
grandma, die Oma
east, der Osten
easter egg, das Osterei
Easter, das Osterfest
easter bunny, der Osterhase
Easter, das Ostern
to clear, räumen
to talk, reden
to rain, regnen
on saturdays, samstags
treasure, der Schatz
to shine, scheinen
to gift, schenken
bad, schlecht
snow, der Schnee
snowman, der Schneemann
to snow, schneien
chocolate cake, der Schokoladenkuchen
sparking wine, der Sekt
September, der September
summer, der Sommer
sunny, sonnig
speciality, die Spezialität
registry office, das Standesamt
to set, stellen
south, der Süden
to dance, tanzen
plate, der Teller
cake, die Torte
dry, trocken
unhappy, unglücklich
unlucky day, der Unglückstag
warm, warm
Christmas, das Weihnachten
Christmas tree, der Weihnachtsbaum
Christmas party, die Weihnachtsfeier
Christmas present, das Weihnachtsgeschenk
Santa Claus, der Weihnachtsmann
West Germany, das Westdeutschland
west, der Westen
weather report, der Wetterbericht
